#{"t_start": 1760136398.71133, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
476.5,166,5.66091
2090.4,3857,50.404687
606.8,598,57.360138
233.3,158,59.126626
967.2,2174,83.816689
218.7,184,85.831661
741.5,1016,97.274732
511.9,2302,123.53158
556.3,698,131.261196
588.7,784,140.115024
201.8,348,144.166217
240.0,146,145.806353
417.9,3752,188.022028
493.5,3036,222.267899
1283.8,2698,252.772019
607.4,372,256.881561
695.6,570,263.45389
471.9,2732,294.343798
235.6,150,295.996276
222.8,168,297.853685
461.5,2866,330.289425
240.6,150,331.969588
593.3,418,336.584555
2955.0,4111,382.776765
828.6,2325,408.988328
543.2,854,418.728651
1449.5,2546,447.544961
597.7,314,450.987277
958.0,1321,465.724556
737.9,742,474.146199
686.7,834,483.648411
192.4,222,486.143244
217.2,184,488.143001
980.1,960,499.018191
638.3,1368,514.602809
1112.3,2523,542.855801
242.8,118,544.174338
592.0,446,549.358112
648.4,1122,562.035369
555.1,720,570.055883
1362.5,2376,597.005099
984.3,838,606.526432
1227.1,1295,621.053885
582.5,1996,643.47253
880.6,1915,665.101364
586.4,812,674.009624
237.5,156,675.980517
231.6,150,677.621171
800.4,2812,709.169887
207.9,212,711.764852
549.9,532,717.610456
926.0,1651,736.286611
762.5,786,745.278239
239.7,114,746.583393
238.0,146,748.209402
1276.3,768,757.027752
1186.2,1859,777.951675
230.1,160,779.992435
219.7,164,781.79539
954.1,1165,794.887821
230.4,162,796.692492
660.4,1082,809.020937
603.0,336,812.721279
223.0,156,814.706969
578.1,430,819.432756
241.7,134,820.909344
239.5,176,822.858324
1161.5,1796,843.294399
593.3,398,847.765984
939.6,1415,864.091594
990.1,850,873.909492
223.1,150,875.618578
762.9,652,882.998908
1268.7,804,892.36687
1275.4,832,901.905839
228.5,216,904.269526
574.6,470,909.734272
704.5,636,916.743811
609.4,582,923.578395
212.3,178,925.561398
722.4,732,933.8629
228.0,156,935.578334
230.3,158,937.322424
584.1,400,942.019133
577.6,450,947.021301
612.1,360,951.016057
888.6,1835,971.863343
1255.8,1283,986.273572
605.2,294,989.77749
647.1,900,999.948086
1081.5,796,1008.678434
1240.0,1181,1021.926872
1236.8,1393,1037.812442
228.3,148,1039.457655
570.7,434,1044.358732
238.7,134,1046.087281
596.5,296,1049.337393
1533.9,822,1058.637102
1237.8,1278,1072.969016
218.2,164,1074.753015
985.5,846,1084.29829
613.3,348,1088.140284
941.0,1401,1104.05883
208.9,182,1106.083432
963.1,1170,1119.21184
238.9,132,1120.671088
243.9,122,1122.017672
596.7,414,1126.88527
902.6,1675,1145.583976
212.4,202,1147.794436
1115.5,676,1155.499059
587.4,312,1158.922785
1353.5,1006,1170.46117
1768.6,1150,1183.44141
214.4,162,1185.525921
1358.0,1016,1197.156741
220.7,174,1199.12056
230.4,162,1200.935273
217.7,204,1203.19971
978.8,913,1213.768709
550.3,548,1220.301017
678.3,598,1227.149405
1255.0,1221,1241.527395
1281.0,781,1250.70825
226.0,146,1252.435063
709.9,532,1258.868227
1270.7,964,1270.130134
897.6,1760,1290.489838
223.0,146,1292.432169
1300.8,733,1300.766668
606.7,404,1305.664469
223.7,154,1307.431653
746.7,964,1318.725837
228.5,166,1320.565838
221.1,160,1322.336572
1270.0,921,1332.95467
213.0,176,1334.942954
908.2,1549,1352.679877
226.6,170,1354.577706
593.1,290,1357.806119
639.3,288,1360.967777
974.8,973,1372.373617
234.3,138,1374.225987
1009.5,871,1384.213438
614.5,406,1389.14824
1281.0,941,1400.182091
660.6,1090,1413.094586
608.3,368,1417.3354
1005.7,719,1425.7774
1564.5,1476,1442.82463
631.3,358,1447.165613
1000.8,683,1454.939773
1363.9,1002,1466.577836
216.6,170,1468.509365
1001.5,771,1477.499721
675.0,606,1484.643092
228.6,160,1486.474278
1288.7,824,1496.067259
592.1,340,1499.93013
1010.0,621,1507.293828
230.0,166,1509.19538
1161.1,1915,1530.900301
1774.0,1746,1550.47693
583.7,394,1555.159209
579.1,720,1563.659557
586.3,438,1568.683093
1000.2,939,1579.825598
609.7,424,1586.069808
219.5,166,1588.42224
682.2,754,1597.221611
603.7,634,1604.785532
226.7,164,1606.675956
184.4,212,1609.013374
582.2,424,1613.955379
204.6,190,1616.073243
565.5,526,1621.945412
744.0,996,1633.285182
207.6,190,1635.399368
980.5,1046,1647.463456
959.7,1054,1659.507018
576.3,398,1664.273782
192.8,188,1666.367646
1252.3,1028,1677.937953
239.2,144,1679.517128
698.4,512,1685.40354
579.1,430,1690.119321
1277.0,971,1701.177603
1005.2,689,1709.348853
618.5,336,1713.230967
1273.4,1037,1725.500863
985.8,838,1735.565603
1091.6,930,1746.517387
222.9,142,1748.175365
1012.6,795,1757.491045
630.7,374,1761.731892
910.3,1613,1780.958346
597.5,256,1783.963357
589.2,424,1788.886862
986.1,930,1799.917882
241.4,152,1801.674051
599.7,364,1806.134805
244.3,128,1807.607022
578.9,432,1812.51981
985.8,843,1822.479416
230.5,166,1824.396062
233.4,162,1826.266885
1015.5,556,1832.875142
234.2,144,1834.482721
991.5,836,1844.276835
1294.3,1578,1863.174606
1251.7,1114,1877.718829
995.4,722,1886.196416
1006.0,871,1896.37482
1434.3,1748,1916.264992
1006.3,633,1923.261895
209.7,184,1925.60474
238.1,150,1927.257475
751.9,552,1933.396718
1074.1,1050,1945.44119
235.6,150,1947.384613
597.3,358,1951.535893
598.5,336,1955.313261
229.1,150,1956.98675
596.1,390,1961.613487
225.9,142,1963.205752
1779.4,942,1974.193792
1006.6,650,1981.569328
709.5,646,1989.217096
981.7,904,1999.809695
1657.2,824,2009.75667
736.3,1068,2022.321412
1269.4,982,2033.743717
718.9,642,2041.071721
676.3,858,2051.151988
993.9,892,2061.622355
997.2,849,2071.522957
229.5,136,2073.091758
961.3,988,2084.631946
1382.8,828,2094.335276
224.3,148,2098.002544
1084.3,818,2107.590689
977.9,912,2118.269197
1015.3,518,2124.381184
223.5,146,2126.087036
235.7,144,2127.778223
231.8,138,2129.643336
1088.0,836,2139.35146
1276.5,826,2149.177094
595.7,334,2153.361399
1269.8,1053,2165.724988
603.9,312,2169.341644
1828.9,1342,2185.1318
226.9,142,2186.757625
580.3,438,2192.07743
1491.2,1224,2206.335947
234.5,156,2208.051467
1015.5,666,2215.624847
589.0,396,2219.967136
229.9,132,2221.402758
1044.3,1348,2236.734802
236.3,128,2238.149061
220.9,152,2239.819268
619.3,298,2243.111348
2234.9,1872,2265.155262
998.0,711,2273.580182
998.7,684,2281.445968
967.0,1061,2293.850841
679.2,634,2301.415663
770.6,730,2310.093524
240.5,146,2311.752829
605.2,384,2316.174464
692.3,428,2321.37459
235.7,124,2322.787858
611.9,272,2325.910302
1008.5,686,2334.013861
593.9,372,2338.283424
754.1,570,2345.06779
208.1,160,2346.920019
223.3,168,2348.834133
708.9,532,2357.23863
1012.9,617,2364.398124
638.1,290,2367.736888
245.5,126,2369.469378
226.7,164,2371.370941
230.4,152,2373.084828
1219.0,1336,2388.623319
1268.5,796,2398.082778
240.2,154,2399.828331
615.3,338,2403.68538
1292.7,664,2411.350342
1278.6,995,2422.515921
935.7,1469,2438.921234
220.8,168,2441.080034
1094.0,846,2450.460836
665.5,796,2459.519201
606.9,602,2466.421633
964.8,1048,2478.504466
595.3,268,2481.571484
1298.7,774,2490.754375
221.5,176,2492.794488
588.5,426,2497.649503
598.1,290,2501.228169
987.7,839,2511.057287
1103.9,722,2519.265558
581.7,404,2524.126734
606.7,384,2528.503726
1223.5,1301,2543.556774
611.7,334,2547.647259
738.1,740,2556.047764
228.2,154,2558.097552
243.4,122,2559.489811
610.7,354,2563.498052
219.9,172,2565.455685
713.7,554,2571.988592
1010.1,645,2579.367949
633.5,336,2583.474704
585.2,354,2587.477272
604.5,356,2591.476163
719.9,622,2598.601663
605.5,376,2602.842535
226.3,168,2604.798581
595.5,426,2609.757805
203.0,186,2611.807152
1030.6,665,2619.461027
935.2,1364,2634.760509
596.1,340,2638.478017
233.4,132,2640.195884
221.2,154,2641.874058
607.2,384,2646.073247
594.9,272,2649.060035
773.0,706,2657.189487
239.6,130,2658.69873
213.4,182,2660.792113
1352.3,998,2672.469446
725.1,560,2679.220458
709.7,794,2688.580709
563.7,414,2693.331421
225.3,168,2695.274458
984.9,962,2706.536305
612.9,402,2711.350818
239.5,126,2712.741129
613.2,374,2716.905222
601.1,370,2721.053518
779.7,624,2728.29901
654.5,1146,2741.223497
1454.4,1392,2756.942595
1005.4,647,2764.31776
1293.3,813,2775.575527
600.9,662,2783.124371
779.0,646,2790.257194
227.4,162,2792.073003
1345.1,1220,2806.098531
1002.2,724,2814.023047
557.5,496,2819.727994
1010.6,630,2826.669122
604.5,626,2833.825981
597.5,416,2838.436727
238.6,140,2840.258998
1011.1,715,2848.316292
578.8,428,2853.312401
956.4,1142,2866.327225
1109.1,750,2874.778564
594.3,278,2878.200614
1015.8,578,2884.748875
602.5,326,2888.733525
1072.4,1022,2900.571389
734.7,1084,2912.801569
240.4,132,2914.23447
1283.2,919,2924.625713
590.1,290,2927.883125
216.7,174,2929.799596
1188.1,1690,2950.863948
204.1,180,2952.845764
630.3,368,2956.890523
601.9,382,2961.397192
993.1,750,2969.836658
1010.4,572,2976.427426
235.9,132,2977.871637
230.3,158,2979.621131
1289.3,903,2989.908027
226.5,156,2991.667277
950.9,1157,3004.948949
591.8,348,3009.127716
609.1,570,3015.676498
693.7,514,3021.918692
241.7,124,3023.365735
1210.3,1528,3041.554837
737.5,1056,3053.974971
995.2,784,3063.078176
726.5,586,3070.054729
1003.0,676,3078.10239
232.4,152,3079.850193
689.9,772,3088.900414
230.9,152,3090.94327
235.1,130,3092.461037
1285.0,766,3101.349716
961.2,1114,3114.587514
1759.0,1446,3131.368697
602.7,364,3135.431823
580.1,440,3140.560512
1244.3,1063,3152.719532
1293.2,759,3161.53322
610.1,340,3165.374079
232.4,142,3167.004232
699.1,710,3175.403312
629.6,370,3179.640459
228.7,134,3181.200156
1008.5,626,3188.646122
226.6,200,3190.9318
606.9,262,3193.907929
616.2,334,3198.019627
691.0,766,3206.856722
239.3,128,3208.316623
614.2,394,3213.102556
1009.2,609,3220.071377
704.6,1030,3232.097275
3806.9,2459,3262.94019
2671.1,1347,3278.557366
708.0,1036,3290.670982
230.8,158,3292.502765
688.5,616,3299.680361
585.1,380,3303.888634
1106.2,664,3311.58659
1262.8,1073,3324.331667
237.6,160,3326.155675
244.7,114,3327.509386
614.2,364,3331.979016
1277.8,843,3341.691897
231.8,148,3343.636519
1006.4,617,3350.75119
784.1,590,3357.916145
1767.8,838,3367.834467
241.9,142,3369.454587
242.8,118,3370.789046
612.5,376,3375.091995
958.2,1129,3388.288692
220.5,166,3390.438715
612.9,322,3394.012918
227.1,150,3395.677103
1289.2,629,3403.085053
1354.2,994,3414.39463
572.6,450,3419.359446
613.5,386,3423.613195
579.0,466,3429.005464
610.3,348,3432.862014
1000.3,688,3440.708408
718.9,532,3446.676227
234.3,148,3448.590807
238.9,122,3449.951157
230.0,156,3451.670024
608.5,576,3457.998424
223.6,170,3460.1568
612.7,354,3464.032232
593.8,398,3468.445174
707.2,654,3475.927317
967.4,1037,3487.600953
242.6,120,3488.94869
562.4,442,3493.807976
245.0,126,3495.473245
610.4,422,3500.13513
2072.2,1034,3511.853611
986.0,861,3521.695616
597.8,378,3525.874594
1007.5,736,3534.315186
243.1,120,3535.666354
603.1,310,3539.135879
235.6,150,3541.047488
1028.4,1542,3558.379273
244.7,134,3559.875669
616.8,348,3564.23532
616.3,358,3568.326375
599.1,400,3572.913845
967.0,1091,3585.722579
628.7,384,3590.43411
581.9,372,3594.708751
221.8,158,3596.516759
1517.5,906,3607.283319
213.6,180,3609.365066
1004.5,681,3617.525097
225.2,144,3619.188697
602.2,654,3626.956433
601.7,344,3630.86572
599.4,422,3635.676312
686.4,542,3642.144963
1843.2,1824,3663.104129
602.3,358,3667.020919
610.3,568,3673.579753
228.2,154,3675.260439
573.4,592,3681.736551
691.0,756,3690.461408
241.4,122,3691.796377
589.4,352,3695.99003
603.1,470,3701.241697
982.3,978,3712.298724
229.1,150,3713.947986
237.0,146,3715.583244
1236.4,1177,3731.228792
728.0,726,3739.751686
1726.7,1854,3761.2216
592.7,304,3764.567292
225.8,168,3766.434716
583.1,410,3771.719759
1850.2,1254,3788.7576
235.7,134,3790.262635
770.3,728,3798.637813
215.9,182,3800.684443
967.5,1016,3812.354502
602.6,370,3816.434854
218.2,174,3818.653067
1090.9,902,3828.876026
1009.4,732,3837.003968
991.3,828,3846.422862
1620.9,1082,3858.613154
695.7,714,3866.769579
701.3,638,3873.807578
1016.0,541,3880.041306
598.6,410,3884.565829
593.9,332,3888.540249
965.4,1112,3901.154228
1367.8,848,3910.803472
710.3,558,3916.962398
230.6,150,3918.611628
241.8,128,3920.03807
592.3,368,3924.475514
235.3,138,3925.993354
236.2,134,3927.496361
612.6,360,3931.472962
1284.8,913,3941.838245
587.2,354,3945.997175
224.6,160,3947.758149
975.5,926,3958.284688
984.4,902,3968.478687
568.2,404,3972.949829
242.2,124,3974.29199
243.2,124,3975.667564
590.3,378,3980.112612
592.1,340,3983.937841
607.3,378,3988.077528
961.7,1069,4000.165178
586.3,398,4004.841179
981.5,1026,4016.459201
593.1,420,4021.073889
241.3,128,4022.468398
607.7,594,4029.300761
236.1,120,4030.617296
1046.3,1278,4045.00137
710.7,654,4052.497404
1819.3,1408,4068.287002
1361.3,1038,4079.989047
243.8,138,4081.526275
600.7,344,4085.618285
993.0,856,4095.261665
209.9,182,4097.28148
595.1,370,4101.357351
605.7,394,4105.92212
595.1,730,4113.941419
997.7,739,4122.355886
610.5,366,4126.383049
243.3,128,4127.792909
228.9,142,4129.62725
586.8,378,4133.79295
236.3,128,4135.199636
616.5,356,4139.083493
583.4,362,4143.314992
1261.2,1039,4155.050869
237.7,154,4156.748963
783.3,598,4163.722583
631.9,352,4167.624364
588.0,326,4171.181447
988.7,819,4180.438072
1003.1,665,4188.034361
1784.7,1124,4200.686007
1234.4,1167,4213.791019
735.5,596,4220.310889
988.1,860,4230.042603
224.6,160,4231.78662
575.1,380,4236.216097
778.3,648,4243.334866
723.9,682,4251.061327
590.3,298,4254.372972
1270.8,1043,4268.112365
749.1,590,4274.889251
240.4,122,4276.253813
227.8,158,4278.021825
1261.2,1059,4290.105502
689.9,982,4301.229353
588.2,404,4305.935585
1345.0,1246,4320.038355
940.4,1267,4334.195609
218.9,162,4335.98564
243.1,140,4337.55512
994.2,799,4346.535351
734.1,760,4355.134102
969.6,1025,4366.68669
601.1,420,4371.319893
998.3,668,4378.957975
1217.4,1347,4394.070653
585.9,382,4398.529341
1331.7,1134,4411.490113
195.4,202,4413.716089
243.0,126,4415.127501
606.3,298,4418.452548
598.9,292,4421.936588
583.1,440,4426.747272
764.1,790,4435.760682
233.6,130,4437.200201
1266.1,1110,4449.707206
604.7,414,4454.495379
1272.0,851,4463.973716
599.7,354,4468.129362
207.6,190,4470.286435
775.3,678,4478.172436
228.5,146,4479.798781
241.1,150,4481.476006
588.7,454,4486.505087
1276.0,1021,4498.239653
227.9,152,4499.96219
610.7,314,4503.760165
954.2,1139,4516.892676
964.8,1073,4529.06546
1584.7,1444,4545.428572
1861.6,1000,4556.752504
593.5,346,4560.84256
225.3,158,4562.601893
990.2,789,4571.530988
225.9,152,4573.224751
1278.8,768,4581.630916
244.9,122,4583.244858
783.1,600,4589.850975
997.9,742,4598.292148
593.7,304,4601.631451
955.7,1164,4614.654791
680.3,568,4621.166546
242.9,132,4622.602765
227.3,158,4624.342689
583.3,358,4628.586463
594.9,412,4633.096979
637.1,300,4636.38545
596.4,302,4639.953921
1301.0,741,4648.280117
238.6,120,4649.612544
242.7,114,4651.110846
1029.2,674,4658.577962
596.7,294,4661.81269
688.8,578,4668.464159
240.9,122,4669.816462
591.2,404,4676.52984
741.9,572,4682.816662
783.7,594,4689.669461
240.1,130,4691.112884
601.1,320,4694.674781
993.4,777,4703.467505
1373.7,904,4713.687114
605.0,626,4720.554457
226.5,136,4722.310759
239.5,136,4723.803275
609.7,574,4730.126643
1350.8,1098,4742.4292
1010.5,626,4749.563255
236.0,126,4750.982963
579.8,648,4758.401482
236.5,136,4759.894189
597.3,348,4763.823802
607.9,392,4768.441617
997.1,720,4778.339592
611.5,306,4781.969073
750.7,924,4792.142381
611.7,344,4796.18474
630.8,368,4800.230521
598.6,430,4805.23145
242.3,128,4806.660014
242.4,122,4807.985717
239.6,130,4809.42401
1237.0,1141,4822.251411
592.3,338,4825.972649
1025.2,699,4833.934422
594.6,320,4837.453654
1297.1,770,4846.180479
1387.5,796,4855.211774
1003.3,683,4863.025144
694.8,568,4869.296255
235.7,144,4870.881147
781.9,612,4877.863368
593.9,282,4880.978593
237.8,128,4882.399018
602.9,402,4887.233934
230.6,150,4888.872729
682.5,786,4897.789301
603.5,346,4901.589097
1646.2,944,4912.291862
738.3,858,4921.989312
1287.0,731,4930.021448
