#{"t_start": 1760196284.55839, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
474.2,174,2.058029
1943.3,5288,40.758303
480.6,5890,83.996382
217.9,192,85.343493
69.9,6942,136.338135
232.7,154,137.423452
690.7,1534,148.678955
608.6,380,151.513098
-432.8,8019,210.249958
240.7,134,211.338526
-432.8,8019,270.188401
444.3,1868,283.872442
727.7,4374,317.098308
956.7,4419,349.713941
221.7,184,351.008124
1022.2,499,354.664989
717.0,796,360.544236
602.0,656,365.310644
-433.8,8019,424.764313
251.5,5106,462.794191
424.6,1860,476.466223
221.3,168,477.803478
1011.0,3466,503.406098
526.1,3020,525.595979
245.3,128,526.667761
605.2,624,531.219496
2240.2,2894,552.485171
958.8,1133,560.927053
752.9,3157,584.036768
583.9,562,588.150458
964.6,1145,596.532324
709.0,3601,624.276273
670.2,1364,634.35414
884.4,1877,648.160593
832.3,2338,665.19826
648.9,1132,673.457405
573.7,934,680.461389
-256.8,8019,739.112759
408.7,3474,764.665979
-432.8,8019,823.667101
66.1,6780,873.657559
475.2,1924,887.702175
-432.3,8019,948.813267
-432.3,8019,1008.007448
605.0,626,1012.590853
462.0,6106,1057.676367
-432.3,8019,1116.700443
-432.8,8019,1175.942026
837.0,5186,1215.790665
590.7,454,1219.125349
693.0,6726,1268.498089
237.7,144,1269.663441
549.3,878,1276.000579
-256.3,8019,1335.333956
-432.8,8019,1394.374786
-432.8,8019,1453.500785
232.2,184,1454.949829
-432.3,8019,1513.966533
591.2,764,1521.005729
686.1,1100,1529.079069
893.5,1796,1542.331673
230.8,158,1543.447866
553.1,700,1548.535825
529.5,1236,1557.684171
1161.0,2036,1572.663373
-256.8,8019,1631.279542
355.1,4030,1661.091594
1045.1,3205,1684.609586
704.5,1386,1694.822793
-433.8,8019,1753.859391
962.7,1089,1762.01868
1237.9,1247,1771.112648
956.2,1379,1781.271812
603.1,340,1783.801529
605.9,612,1788.269328
573.5,566,1792.377629
589.7,404,1795.349578
606.5,606,1799.783928
-432.8,8019,1860.593579
448.2,3044,1883.162269
608.7,584,1887.452804
242.3,148,1888.495311
505.4,1212,1897.340265
711.1,630,1902.092926
567.8,698,1907.199896
800.8,2668,1926.747981
-433.8,8019,1985.806789
218.3,178,1987.065072
750.7,924,1993.881432
2319.8,5513,2034.450651
919.2,1529,2045.640413
576.7,454,2048.979257
831.1,2400,2066.508417
216.5,166,2067.822121
238.5,146,2068.849179
229.7,154,2069.933078
963.7,1069,2077.786262
589.7,444,2081.049654
596.9,252,2082.957233
245.3,128,2083.862166
243.9,122,2084.723649
545.5,646,2089.426859
775.1,680,2094.519387
722.5,796,2100.292891
952.8,1423,2110.773749
609.9,572,2114.924174
238.4,132,2115.845122
600.2,674,2122.448976
999.0,3741,2149.792296
1645.5,916,2156.561379
243.1,130,2157.470345
186.3,218,2159.134494
242.3,138,2160.102372
590.3,268,2162.008569
635.5,316,2164.372466
222.5,166,2165.530603
955.3,1173,2174.239931
581.7,414,2177.248375
-432.8,8019,2236.56567
983.7,4844,2272.529247
2150.6,2630,2291.806662
751.2,924,2298.494722
241.4,122,2299.510583
987.6,835,2305.538294
230.7,154,2306.761413
706.2,704,2311.890716
241.7,134,2312.837375
964.1,1080,2320.76425
882.4,1917,2334.840459
648.7,1944,2349.190376
607.1,2360,2366.759642
551.7,924,2373.442488
602.1,650,2378.353997
1219.5,1371,2388.337278
579.1,880,2394.826703
605.0,296,2397.053477
227.7,144,2398.076556
227.5,146,2399.100004
240.3,118,2399.930883
790.5,526,2403.794043
1116.5,716,2409.120721
1007.9,642,2413.802771
613.2,364,2416.504385
715.5,696,2421.556839
223.6,160,2422.680877
570.1,690,2429.176927
614.5,356,2431.678145
1221.4,1557,2443.23282
896.9,1712,2455.772141
592.7,394,2458.710709
875.5,2081,2474.024631
941.2,1289,2483.609604
746.8,958,2490.672467
711.1,780,2496.461884
1282.4,737,2501.812746
242.5,116,2502.636577
595.5,266,2504.632347
595.9,712,2509.808732
732.8,578,2514.018758
241.4,132,2515.10998
1102.7,2469,2533.097337
1364.5,1026,2540.622254
546.8,688,2545.740736
234.8,158,2546.853269
331.8,4228,2577.867412
-432.3,8019,2636.98572
-256.3,8019,2695.873006
-432.8,8019,2841.853613
230.5,146,2843.026605
-435.8,8019,2902.486509
238.5,146,2903.662865
435.4,4082,2933.73786
243.1,130,2934.658472
6.5,7486,2989.811648
238.3,138,2990.914588
439.7,3504,3016.661025
678.7,1644,3028.706126
580.3,738,3034.063942
234.7,144,3035.082846
-256.8,8019,3094.297599
-432.8,8019,3155.127739
228.1,170,3156.330326
218.3,168,3157.510639
544.3,1228,3166.60914
573.1,940,3173.52761
482.9,1842,3186.917087
222.0,196,3188.444936
221.1,160,3189.569994
580.5,876,3196.025244
-264.8,8019,3254.927235
-432.8,8019,3313.897855
-432.8,8019,3373.129401
-432.8,8019,3433.511367
596.3,338,3436.03433
563.5,1036,3443.750837
618.2,314,3446.102509
-432.8,8019,3505.008553
239.9,142,3506.149218
230.7,144,3507.162843
-432.8,8019,3566.396801
