#{"t_start": 1760196284.540531, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
1420.5,1266,10.012426
220.5,166,11.173433
227.8,168,12.497066
605.3,608,16.920348
1062.0,3266,40.859671
743.5,996,48.195649
227.1,160,49.319664
603.9,632,54.038542
553.7,1134,62.291976
833.5,2771,82.585977
-433.3,8019,141.443952
595.6,420,144.549619
637.3,298,146.656564
710.1,500,150.346657
-256.8,8019,209.223314
557.0,1106,217.258501
-256.8,8019,276.270605
518.9,1302,285.693464
529.8,1378,295.78749
830.7,2434,314.99128
165.1,270,316.878129
578.7,724,322.376924
852.9,2272,338.999908
2667.8,1568,350.514746
1259.4,1127,358.703625
237.1,140,359.842009
227.7,174,361.064737
-256.3,8019,420.45119
-256.8,8019,479.962215
580.7,444,483.268492
1170.9,1802,496.668859
444.5,3276,520.746156
213.9,182,522.182827
1125.3,3378,546.934438
820.5,2731,567.076837
1150.9,2252,583.670309
923.7,1459,594.410496
870.5,2141,611.452808
727.4,1162,619.917897
839.5,2331,637.0699
1376.1,2190,653.112589
1073.2,2789,673.455973
574.6,480,677.105816
-256.8,8019,735.780753
-256.3,8019,794.735159
559.3,1078,802.774064
-432.8,8019,861.834417
222.1,180,863.107886
-432.8,8019,924.209478
550.9,482,927.639633
505.1,3380,952.546244
576.7,474,956.052503
-256.8,8019,1015.246887
236.1,140,1016.238406
241.7,134,1017.197852
-256.8,8019,1076.413661
449.1,2180,1092.414053
227.7,164,1093.574697
378.5,2396,1111.235983
563.8,1038,1118.83921
-432.8,8019,1178.210342
441.8,7408,1234.342763
476.3,2798,1254.991799
461.1,6210,1300.731357
243.0,136,1301.689929
-432.3,8019,1360.847013
240.1,150,1361.913547
223.1,170,1363.120041
980.5,916,1369.910928
611.3,548,1373.924843
242.1,130,1374.979709
241.5,126,1375.879052
1034.8,3118,1398.932302
-432.8,8019,1458.061937
-432.8,8019,1518.435275
414.9,3792,1546.386131
239.1,140,1547.370591
574.6,430,1550.541755
484.5,2806,1571.092408
-256.3,8019,1629.860108
426.7,3834,1658.141548
235.8,128,1659.186729
750.9,592,1663.5161
401.6,3510,1689.307158
948.7,4084,1719.36532
641.3,1158,1727.8521
526.4,5657,1769.586807
1314.7,1494,1780.557772
662.7,4319,1812.112021
225.3,158,1813.376144
542.3,3008,1837.152095
227.1,160,1838.430323
240.1,160,1839.563846
587.8,388,1842.458232
569.0,846,1848.603464
620.5,2226,1865.068214
604.7,624,1869.633069
428.1,6445,1917.308173
220.7,164,1918.464024
-256.8,8019,1977.500962
303.0,4766,2012.634179
1686.9,2092,2027.912281
241.4,132,2028.837364
592.6,320,2031.2278
601.0,326,2033.650734
227.9,152,2034.708752
604.5,406,2037.705417
235.1,150,2038.764227
231.6,150,2039.819496
600.0,386,2042.674909
577.7,434,2045.871339
565.4,532,2049.756208
573.8,498,2053.396821
1611.9,2642,2072.803496
1261.0,1141,2081.132333
688.7,684,2086.253256
561.7,1054,2093.969073
700.5,1426,2104.336606
1371.1,940,2111.259985
678.9,852,2117.701569
907.6,1655,2131.196768
591.9,352,2133.813271
899.5,1711,2146.271247
782.4,612,2150.730336
786.8,568,2154.893453
637.9,292,2157.098124
1573.1,1580,2168.655117
572.1,480,2172.190056
1087.0,2651,2191.702197
-256.8,8019,2251.202001
1159.4,2167,2267.2118
781.2,624,2271.767723
220.5,166,2273.084423
1189.4,1707,2285.555916
1276.8,988,2292.829319
1504.4,1172,2301.418098
1382.7,824,2307.497467
969.7,1014,2314.962906
579.3,868,2321.38983
244.7,134,2322.320938
229.5,156,2323.416006
585.7,804,2329.397167
526.5,2176,2345.361266
219.9,182,2346.641258
791.8,2753,2367.122999
868.9,2067,2382.353822
693.1,720,2387.603047
635.0,1486,2398.504369
1287.2,769,2404.070032
618.1,330,2406.536972
592.1,270,2408.590451
1284.9,902,2415.098632
1040.0,571,2419.413238
245.6,120,2420.266053
228.0,146,2421.292805
717.9,762,2428.293519
2686.4,1832,2441.636771
770.9,722,2447.038657
736.5,1066,2454.855337
1220.3,1378,2464.890899
959.3,1128,2473.319294
1251.0,1231,2482.491613
1290.9,837,2488.681677
1623.8,1068,2496.523216
604.7,624,2501.073039
622.4,332,2503.545922
616.9,342,2505.956217
601.7,364,2508.663549
606.3,368,2511.414997
621.9,302,2513.531956
-256.3,8019,2572.398676
-255.8,8019,2631.554435
218.7,184,2632.851362
230.9,152,2633.920457
-257.8,8019,2692.817321
229.1,160,2693.935088
215.5,226,2695.672444
-432.8,8019,2841.645512
-432.8,8019,2901.236552
221.1,170,2902.452832
-256.8,8019,2961.670856
222.9,162,2962.824546
528.7,854,2969.150793
612.4,4562,3002.698993
-434.8,8019,3061.666556
-432.3,8019,3122.579173
-256.8,8019,3181.527692
226.9,182,3182.808156
589.5,396,3185.718994
602.3,648,3190.436085
222.1,170,3191.770564
-256.8,8019,3250.67536
457.5,3716,3277.944659
465.3,2958,3299.728902
560.2,2514,3318.318304
244.5,126,3319.195402
226.9,172,3320.543873
-256.3,8019,3379.499197
-258.3,8019,3440.137953
573.1,410,3443.169069
609.7,574,3447.368476
495.1,1220,3456.258808
-432.8,8019,3515.26237
512.3,968,3522.347688
229.6,170,3523.54816
-432.3,8019,3582.877415
564.7,444,3586.161939
