#{"t_start": 1760136398.587804, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
1503.9,1002,2115.857279
237.6,140,2117.735871
1269.1,1060,2130.343127
567.7,464,2135.697875
619.5,326,2139.524838
573.7,494,2145.506552
986.2,834,2155.458977
236.3,138,2157.058298
993.1,820,2166.752092
236.8,148,2168.443453
612.3,358,2172.59345
238.4,122,2174.034096
1007.2,749,2182.953645
592.7,324,2186.717415
657.7,1174,2200.457093
605.4,402,2205.292275
237.9,132,2206.819541
232.1,160,2208.567331
717.2,704,2216.523044
595.9,482,2221.853228
733.1,1100,2234.190258
222.2,164,2236.263127
1276.2,709,2244.203086
237.4,142,2245.836092
777.6,660,2253.668653
1623.7,1054,2265.989541
1265.0,1081,2278.717284
1847.2,1294,2293.813747
238.7,134,2295.621906
241.2,124,2297.036753
589.7,364,2301.219987
239.8,138,2302.849028
223.5,146,2304.539382
602.3,348,2308.797714
1300.2,669,2316.465511
232.3,148,2318.164576
1732.2,1634,2337.425472
604.7,304,2340.921544
592.3,418,2345.988347
604.3,628,2355.197547
1370.7,944,2366.386045
565.4,592,2373.408919
1286.1,805,2382.905953
241.5,126,2384.349765
1264.1,830,2394.181971
1272.1,1010,2406.004972
220.0,156,2407.732671
234.7,154,2409.448693
606.5,376,2413.565737
1392.1,760,2422.178158
620.3,308,2425.571071
1269.8,823,2434.853185
952.8,1173,2448.057966
576.3,428,2453.175555
1809.8,928,2463.631575
965.9,1072,2475.900205
243.4,122,2477.271107
1250.2,1259,2492.004902
242.0,116,2493.343625
222.0,156,2495.116827
1369.9,992,2506.640017
995.1,750,2515.469648
984.6,895,2525.902
1763.9,1272,2540.630311
760.5,826,2550.26092
633.2,344,2554.180496
242.5,116,2555.484071
243.0,136,2557.04149
241.3,118,2558.648241
601.3,398,2563.173656
1105.2,784,2572.324467
631.4,362,2576.466429
230.8,158,2578.301707
653.5,856,2588.240216
242.1,120,2589.600168
214.8,178,2591.587007
239.1,150,2593.244085
1338.9,1252,2607.770957
205.3,178,2609.747125
588.3,408,2614.23823
1001.4,697,2622.203983
238.9,122,2623.577749
608.5,356,2627.517322
771.8,718,2635.686392
243.5,116,2636.968395
788.1,550,2643.291659
235.0,146,2644.894395
1002.1,795,2653.912266
591.5,466,2659.185017
606.1,610,2666.444462
669.2,814,2676.050467
604.7,354,2680.156881
217.3,198,2682.462651
236.5,126,2683.912741
576.5,396,2688.700538
1275.4,1007,2700.561531
228.9,142,2702.193312
601.1,340,2706.0502
241.8,118,2707.365667
220.0,166,2709.288336
591.7,334,2713.273036
777.7,654,2720.568742
216.3,178,2722.881034
235.1,150,2724.588825
697.9,382,2728.810819
236.5,146,2730.454046
608.9,342,2734.50091
226.6,160,2736.230103
778.1,650,2743.447722
1063.9,1132,2756.334695
599.5,406,2761.051407
1054.0,1116,2775.638087
1016.2,629,2782.804196
