#{"t_start": 1760196284.677915, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
1261.0,896,7.128418
1011.5,4581,40.745621
1513.9,1452,51.425475
424.1,1920,65.473955
-256.3,8019,124.226231
612.3,358,126.889363
242.5,136,127.846575
1060.9,3227,151.656676
604.6,630,156.235316
-256.3,8019,215.079879
240.7,124,215.951668
512.3,1168,224.445585
-432.8,8019,283.452439
583.9,842,289.500444
319.9,7572,346.484711
569.1,540,350.43276
907.0,1611,362.179015
558.4,512,365.924667
178.7,244,367.771656
551.1,650,372.488114
-256.8,8019,432.050561
611.7,564,436.222249
-256.3,8019,495.838744
829.5,5561,536.709026
1236.1,1425,547.172899
717.7,754,552.789949
741.7,3384,577.687543
1126.1,4230,610.176625
623.0,2206,626.264552
666.2,994,633.588142
773.3,2988,655.508126
2166.7,1434,665.885362
495.3,1408,676.225055
231.9,152,677.589702
631.8,358,680.100848
429.1,3540,706.072453
236.1,150,707.117961
542.4,3012,729.094389
226.5,186,730.531146
768.4,3017,752.632012
553.1,940,759.444762
-432.8,8019,818.595993
595.5,366,821.323852
230.9,142,822.323769
-433.8,8019,881.361136
373.7,6924,934.293279
-433.3,8019,993.474296
-430.7,8078,1053.151912
240.5,156,1054.246534
204.8,188,1055.563822
-432.8,8019,1114.585277
-432.8,8019,1173.956871
442.8,3308,1198.181542
40.8,7598,1255.816558
-432.8,8019,1315.007771
584.6,830,1321.062798
771.2,724,1326.49751
237.5,136,1327.45789
547.9,1852,1341.126112
401.0,4106,1371.352638
-431.8,8019,1430.402895
239.7,154,1431.63886
-432.8,8019,1490.687629
1225.2,1449,1501.385185
-432.3,8019,1561.716812
779.1,640,1566.392459
831.1,3500,1592.103457
242.9,122,1592.959649
-256.8,8019,1651.931472
787.9,2937,1673.42893
241.9,142,1674.571532
958.1,1365,1684.517315
-256.8,8019,1743.521433
1440.0,5006,1780.505542
241.5,116,1781.313543
228.0,156,1782.402678
236.5,136,1783.500622
563.7,654,1788.265571
599.5,356,1790.898189
685.9,1572,1802.414121
-432.8,8019,1863.078543
-433.8,8019,1922.297234
607.0,386,1925.151894
383.5,4586,1958.945695
223.5,176,1960.183692
750.6,6245,2006.190445
731.6,1120,2014.396932
524.1,860,2020.719013
572.3,578,2024.896938
225.8,158,2026.169488
770.3,718,2031.372547
566.9,462,2034.738274
613.5,296,2036.816083
570.6,490,2040.412281
211.4,172,2041.765443
731.0,1126,2049.967114
1197.1,1755,2062.814124
882.5,1866,2076.577141
233.3,148,2077.616761
228.4,142,2078.745335
607.3,338,2081.126675
788.1,550,2085.138263
242.5,126,2086.190049
1301.4,1622,2098.06166
703.3,738,2103.426468
951.1,1280,2112.872668
224.9,152,2113.934098
245.3,118,2114.761759
1109.5,796,2122.217399
1220.0,1561,2133.656145
214.1,180,2134.923413
222.7,154,2136.005945
612.1,550,2140.166153
619.7,334,2142.502286
740.8,578,2146.728593
742.7,994,2154.020691
614.3,358,2156.692353
609.5,576,2160.882761
586.3,408,2163.89887
610.1,570,2168.056928
788.2,554,2172.121283
955.8,1153,2180.630154
583.7,454,2183.978711
-432.8,8019,2243.440949
239.2,154,2244.530971
1378.7,2124,2260.248325
586.9,332,2262.742702
632.2,354,2265.376561
917.5,1531,2276.635787
606.1,610,2281.085574
1282.6,765,2286.633408
743.3,998,2293.981846
1517.8,858,2300.35065
240.3,138,2301.323276
595.1,270,2303.361369
715.4,752,2308.812471
3329.7,1664,2321.011668
823.1,2450,2339.025417
605.2,374,2341.827111
957.5,7726,2398.760386
731.6,430,2401.945823
241.2,124,2402.816541
1029.4,677,2407.870429
1274.8,913,2414.466348
228.9,152,2415.684657
998.8,733,2420.99155
608.0,596,2426.680018
614.3,388,2429.566616
604.1,630,2434.143798
600.3,308,2436.477142
565.3,528,2440.334289
892.3,1768,2453.270063
1142.9,2122,2468.845254
982.7,889,2475.424738
656.1,800,2481.566868
238.1,150,2482.627715
232.2,164,2483.774811
211.7,164,2485.068231
591.7,314,2487.294036
239.2,144,2488.452903
613.1,280,2490.440631
1248.1,1280,2499.896663
580.9,382,2502.602188
1236.9,1162,2511.220806
1851.1,1120,2519.436282
866.7,2029,2534.284148
1277.7,784,2539.963809
677.6,1660,2552.229869
610.2,384,2554.948907
543.5,946,2561.896756
577.6,550,2565.92813
228.5,146,2566.960385
-435.3,8019,2626.127929
599.5,4951,2662.564983
430.0,3116,2685.391492
594.1,730,2690.667184
-432.8,8019,2836.640692
467.6,6005,2881.344367
112.0,6736,2931.0927
-256.8,8019,2990.287152
608.8,368,2992.870445
706.7,1364,3002.934623
-432.8,8019,3062.039802
237.5,166,3063.215078
-434.8,8019,3124.11827
-434.3,8019,3182.920319
238.4,142,3184.060055
237.3,148,3185.091994
517.9,3232,3208.95841
-432.8,8019,3267.794029
232.9,132,3268.73489
222.9,162,3269.883361
215.8,168,3271.213697
-256.8,8019,3330.123756
184.9,6582,3378.675792
-432.8,8019,3439.317902
225.1,180,3440.583337
-255.8,8019,3499.617118
609.6,580,3503.860036
-280.8,8019,3563.065958
