#{"t_start": 1760136398.656753, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
1157.3,538,9.898899
629.8,528,16.731867
212.7,204,18.980345
600.7,444,23.957037
235.0,176,25.92726
236.2,144,27.600057
1727.8,3623,69.098143
748.5,926,79.592714
210.9,172,81.521963
230.2,184,83.614109
609.0,406,88.398857
197.7,254,91.212665
227.1,170,93.09206
897.2,1774,113.239537
593.4,1382,128.797251
524.6,830,138.210905
229.3,198,140.383925
216.8,188,142.437711
222.5,156,144.429465
733.9,1092,156.718326
663.9,902,166.687829
223.9,192,169.085166
220.6,180,171.047534
200.9,202,173.320214
579.2,1754,193.209375
189.9,212,195.53089
1133.6,2390,222.436285
226.1,180,224.434112
234.1,150,226.359711
956.1,1240,240.28062
227.8,168,242.132639
552.7,774,250.929796
687.8,1178,264.199844
585.5,786,273.091032
571.8,638,280.182138
536.7,714,288.347537
575.3,1728,307.90044
601.8,658,315.139169
1017.8,758,323.840448
1010.6,585,330.611127
220.5,206,332.910679
221.0,186,334.961266
724.7,854,344.658087
773.1,670,352.293455
600.6,370,356.36177
191.3,268,359.349575
910.3,1658,378.040463
627.9,2132,402.129803
598.1,680,409.877282
967.1,1140,422.685645
549.6,670,430.063286
222.6,170,431.931546
205.6,190,434.299591
724.3,868,443.907804
571.2,954,454.619283
583.8,398,459.268101
553.1,690,466.831737
230.2,144,468.679207
595.8,268,471.595941
218.1,190,473.722592
819.0,2501,502.146278
205.0,206,504.439857
608.6,350,508.317448
546.6,1210,521.878907
1236.1,1410,537.951435
586.1,340,541.694836
950.9,1232,555.494602
1496.7,3494,595.149816
562.7,424,599.83194
620.1,1430,615.863733
1232.8,1423,632.028233
241.2,154,633.715677
894.8,1673,652.647225
2022.4,1442,668.844279
213.5,186,670.895916
889.0,1916,692.588857
701.2,804,701.730098
218.7,194,703.870072
592.5,446,708.743925
647.7,1084,721.136016
723.6,820,730.174039
233.9,162,731.961717
1287.7,1724,751.625096
208.7,184,753.680477
596.3,288,757.11978
597.1,600,763.802639
241.5,136,765.335163
228.1,160,767.131378
1427.6,1830,787.823052
222.3,178,789.827577
688.9,1182,803.535871
232.0,166,805.38381
556.7,474,810.611469
1472.8,1348,825.949582
650.2,954,836.587097
625.1,1480,853.60674
739.7,1034,865.354922
1016.5,556,871.630592
1368.0,956,882.695527
1348.5,1106,895.741055
231.0,156,897.477862
210.9,172,899.399326
235.7,134,900.872872
744.5,646,908.314058
766.5,766,916.769972
225.3,148,918.403759
605.5,486,924.145422
206.9,172,926.059232
601.7,654,933.5317
591.9,512,939.150117
605.1,260,942.30009
605.0,386,946.586612
1212.5,1621,964.854083
606.5,346,968.965747
596.7,334,972.693696
597.9,342,976.461276
902.2,1664,995.29455
597.5,356,999.212193
609.0,366,1003.511247
1508.7,1014,1014.899693
592.4,402,1019.338202
230.6,160,1021.11717
235.3,148,1023.004064
222.4,172,1024.912265
569.0,686,1032.469511
243.1,120,1033.791772
607.7,334,1037.743858
613.7,324,1041.3075
233.1,140,1042.849346
635.2,324,1046.779273
744.9,982,1057.828421
921.0,1511,1074.682091
233.4,142,1076.240096
594.9,252,1078.998418
230.9,142,1080.843658
737.3,1048,1092.641484
228.7,144,1094.221394
702.5,606,1100.859313
768.3,718,1109.030604
237.9,142,1110.626455
233.5,146,1112.248501
1284.4,987,1123.364692
1895.6,1410,1139.445723
219.9,162,1141.246198
1664.2,934,1151.802951
243.2,144,1153.381528
1579.8,1568,1171.052057
579.1,880,1181.031537
591.8,308,1184.717181
216.7,174,1186.636821
239.0,146,1188.277554
595.6,360,1192.349932
722.7,1214,1206.15046
1749.6,2165,1231.680899
742.4,712,1239.933327
626.9,402,1244.771895
231.3,178,1246.81598
241.0,126,1248.262294
216.2,174,1250.261436
205.6,200,1252.590187
609.7,304,1256.377116
601.0,316,1260.020751
225.6,170,1262.017448
598.4,422,1266.855783
1353.9,1122,1280.099959
597.5,266,1283.139522
763.6,800,1292.633482
1017.5,656,1300.076053
694.9,692,1308.227624
1092.4,822,1317.924094
986.1,950,1328.831422
1437.2,1694,1347.885371
608.7,584,1354.696742
924.2,1484,1371.660373
210.6,190,1374.109746
994.2,749,1382.713261
1263.3,898,1393.28965
602.7,324,1396.993915
558.0,546,1403.619917
1021.5,731,1412.272297
218.3,168,1414.195061
737.1,980,1425.662387
1340.7,1274,1440.399996
592.2,464,1445.966418
610.1,410,1450.62505
578.7,414,1455.339822
1269.4,1057,1467.627364
224.7,154,1469.636588
593.9,342,1473.530315
594.1,270,1476.586508
1232.9,1192,1490.382777
1271.8,878,1500.627934
579.4,482,1506.399919
243.4,122,1507.788276
228.8,168,1509.683745
1008.7,704,1517.665839
707.9,842,1527.058656
1366.0,1106,1539.568274
603.3,358,1543.796729
573.5,686,1551.691454
617.8,318,1555.260347
675.6,770,1564.361854
1640.9,1002,1576.183313
229.7,174,1578.230986
1296.6,815,1589.713306
1006.0,766,1598.340668
766.2,774,1607.475617
596.7,294,1610.723674
232.1,150,1612.395602
588.8,428,1617.446437
598.4,542,1623.469307
241.8,118,1625.02541
210.7,184,1627.092839
234.6,140,1628.68081
964.0,1186,1642.093166
245.7,124,1643.596608
571.3,498,1649.528977
606.0,346,1653.369591
235.1,150,1655.034441
225.4,152,1656.744565
695.1,630,1664.082059
601.7,314,1667.595701
232.0,156,1669.31466
757.2,694,1677.239015
961.1,1120,1689.809837
733.7,1094,1702.220233
566.8,548,1708.790584
236.2,154,1710.561513
1488.4,1102,1723.544834
1264.2,934,1734.723722
1275.8,1003,1746.538187
751.2,914,1757.2417
225.1,160,1759.044544
1003.8,748,1767.93324
1197.4,1827,1789.363323
1259.2,1019,1801.398647
218.2,174,1803.671537
613.4,392,1808.206551
591.2,314,1811.793905
235.5,136,1813.343108
668.3,838,1823.255273
1738.7,1524,1841.143051
238.3,118,1842.493695
784.3,598,1849.457082
246.0,116,1851.082727
576.2,454,1856.361489
996.4,767,1865.526589
777.1,660,1873.035036
1277.8,973,1886.189778
227.5,156,1887.961915
232.5,156,1890.004953
960.9,1127,1903.043694
600.2,294,1906.284337
602.1,280,1909.365048
678.5,1216,1923.031491
995.1,760,1931.708889
1618.8,1208,1945.501186
612.2,344,1949.684859
598.5,246,1952.491768
239.5,136,1954.051698
764.2,794,1963.149894
730.6,620,1970.123393
771.1,720,1978.598935
240.6,130,1980.067965
595.1,370,1984.573148
1017.9,532,1990.658212
1266.8,1103,2003.696442
607.4,392,2008.51643
240.6,140,2010.137733
232.9,142,2011.75486
2605.4,2587,2041.86462
240.7,134,2043.687961
241.9,142,2045.323964
1012.2,799,2054.768463
700.6,810,2063.999856
240.9,142,2065.620619
213.0,176,2067.891542
706.9,752,2076.415866
220.3,178,2078.732425
978.4,937,2089.449634
1272.5,846,2101.353107
1109.6,630,2108.851373
234.9,142,2110.489777
236.5,126,2111.930336
242.1,130,2113.46724
576.1,440,2118.745533
239.2,144,2120.388106
602.9,412,2125.278539
991.1,790,2134.695842
1289.5,806,2144.335724
591.7,354,2148.445566
1028.8,508,2154.602675
604.8,368,2158.822623
992.1,780,2168.05684
577.1,420,2172.909944
1843.8,1058,2185.421304
1024.6,455,2190.90809
238.1,120,2192.301379
1001.6,725,2200.869164
956.7,1144,2213.899714
1293.8,793,2222.607142
230.0,146,2224.518108
234.8,128,2225.915165
1822.2,1324,2240.710939
600.8,658,2248.506685
958.3,1133,2261.775431
