#{"t_start": 1760196284.5330565, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
1149.1,820,6.736208
-368.7,8078,65.9555
-432.8,8019,124.849263
1660.6,3865,153.149103
602.3,648,157.863195
779.5,636,162.638435
-432.3,8019,221.319422
-432.8,8019,280.33218
562.3,688,285.297207
556.9,1102,293.304536
578.1,2650,314.173863
653.3,1878,327.942498
606.3,608,332.39376
206.2,194,333.896211
735.4,1082,341.817415
918.9,1482,352.702784
572.9,412,355.746136
224.3,158,356.857473
949.5,1271,366.078647
176.7,234,367.860267
-435.8,8019,427.367276
549.3,768,432.983099
583.0,686,438.165468
606.7,604,442.748703
596.1,700,447.897506
597.1,4985,484.880051
616.2,404,487.760091
892.2,4849,523.621091
236.7,164,524.794154
897.2,1799,538.105443
1007.3,628,542.691656
1195.1,1870,556.429779
660.8,1088,564.548389
601.7,654,569.317666
1774.1,3340,593.875036
651.7,1914,609.164101
237.2,134,610.260364
243.5,136,611.21458
240.1,120,612.054372
222.0,176,613.29007
585.6,370,616.035381
620.3,338,618.56024
896.2,1989,633.184773
1235.1,1245,642.247202
596.2,1504,653.290296
209.5,186,654.593038
611.4,562,658.844808
228.8,168,660.031823
590.6,300,662.138411
241.5,146,663.306967
577.7,504,666.98104
-257.8,8019,725.701125
228.7,144,726.856972
424.3,6683,775.858078
737.1,1060,783.658629
454.7,1614,795.46208
521.2,914,802.342819
602.5,636,807.000261
606.0,596,811.374097
533.4,1342,821.299548
586.3,378,823.961948
501.1,1190,832.780476
610.9,412,835.844861
244.1,140,836.834163
234.8,148,837.880973
414.3,3758,865.648329
181.1,6620,916.059595
573.4,782,922.084977
224.9,172,923.31558
636.1,1570,934.861136
529.7,834,941.038566
570.5,626,945.611773
-432.8,8019,1004.794627
278.5,5646,1046.559382
234.9,152,1047.633646
-432.8,8019,1106.643665
517.2,1504,1117.688198
199.9,6432,1165.254622
-432.8,8019,1225.994877
721.3,1218,1234.902761
314.9,4282,1266.419429
215.9,172,1267.634155
553.6,530,1271.519434
904.2,1899,1285.678906
580.9,862,1292.087187
227.5,146,1293.11877
-432.8,8019,1352.251015
779.0,636,1356.900657
754.4,3152,1380.083015
220.5,176,1381.332331
601.7,654,1386.246431
-432.3,8019,1445.343376
-433.8,8019,1504.519288
238.7,134,1505.470845
587.9,582,1509.741069
625.1,4450,1543.842565
222.8,168,1545.032275
651.4,1922,1559.15858
960.6,5020,1596.03103
564.7,724,1601.260521
318.3,4928,1637.565871
610.7,384,1640.432284
-432.8,8019,1699.282757
633.7,2094,1714.673235
-256.8,8019,1773.821894
592.7,284,1775.967478
