#{"t_start": 1760136398.4293153, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
1281.3,678,11.683317
1169.2,2844,45.151164
217.2,194,47.312092
972.9,1102,59.785728
594.0,736,68.216607
911.2,1749,88.174458
1046.0,2006,110.812576
1082.0,5086,168.223575
723.1,1080,180.439837
231.7,164,182.264059
1669.5,1566,199.759093
594.1,370,204.207249
593.0,366,208.25869
639.2,1014,219.691203
223.5,186,221.743579
214.9,172,223.650109
578.5,486,229.251637
831.9,2202,254.085086
223.7,164,255.893914
640.2,4384,305.20678
600.9,412,310.020253
1972.7,1314,324.853444
664.1,1790,345.098383
582.5,466,350.22864
927.2,1429,366.482463
518.5,956,377.239326
197.1,200,379.440523
205.8,198,381.614595
230.6,200,383.840602
212.5,226,386.336827
716.6,6315,457.68816
557.7,1094,469.943867
971.2,1149,482.890973
595.8,418,487.543499
577.3,518,493.527321
923.8,1563,511.045937
594.4,422,515.973374
688.9,772,524.43934
225.9,162,526.53163
1075.1,2715,556.918954
922.7,1554,574.675891
568.4,652,581.867408
933.1,1435,598.204498
1198.6,1615,616.270912
930.9,1472,632.954416
867.2,2039,655.871216
598.9,682,663.701264
603.7,464,668.826123
236.5,136,670.304106
225.3,148,671.914312
222.1,180,673.893007
596.7,294,677.375247
597.9,342,681.150789
698.7,1444,697.445592
208.5,176,699.632765
588.8,628,706.553006
624.9,432,711.508595
598.5,1506,728.331309
571.1,410,733.126408
1178.5,1746,752.784492
1268.1,1105,765.366855
760.6,790,774.453765
1280.8,1848,795.337242
553.3,658,802.846644
593.6,740,811.114035
1296.4,762,819.747076
202.2,204,822.012325
208.9,182,823.999171
599.5,446,829.211997
218.4,172,831.132107
967.1,1040,842.932285
577.9,672,850.751569
217.2,164,852.563813
659.7,1424,868.719226
965.5,1241,883.002322
241.1,130,884.754129
226.9,162,886.587053
228.9,162,888.479933
215.8,158,890.290209
704.7,694,898.3873
592.1,460,903.456681
229.3,148,905.053219
605.7,614,912.146605
220.2,154,913.853641
1179.2,1734,933.615473
845.3,2358,960.263377
229.2,154,961.969971
220.5,166,963.867048
242.7,124,965.516675
585.5,516,971.198374
578.2,414,975.776698
629.3,378,980.228838
625.0,396,984.586936
604.6,310,987.992424
711.9,692,995.887015
603.1,340,999.608535
236.9,132,1001.332518
587.0,276,1004.34845
586.5,416,1008.916366
617.5,306,1012.54569
571.9,422,1017.20574
993.7,994,1028.427461
223.8,168,1030.27665
743.5,626,1037.441293
966.6,1055,1049.400436
222.1,170,1051.295187
588.8,338,1055.015083
1264.5,936,1065.564231
586.2,354,1069.739357
612.3,338,1073.457629
608.9,592,1079.942638
592.7,294,1083.465436
243.4,122,1084.816392
232.8,148,1086.453251
596.7,454,1091.457168
240.5,136,1093.219758
243.2,134,1094.71154
582.9,472,1099.890956
229.2,134,1101.347167
223.4,172,1103.263598
930.8,1458,1119.798115
240.6,120,1121.142465
739.7,704,1129.147822
675.1,750,1137.427639
994.7,789,1146.376413
586.1,440,1151.506697
218.6,170,1153.379278
225.0,146,1154.974982
585.8,498,1160.486655
237.4,172,1162.650905
659.7,734,1170.922933
576.0,506,1176.785034
679.1,700,1184.822748
978.4,927,1195.165633
223.4,162,1197.23973
988.1,950,1208.126248
601.1,660,1215.628107
620.1,330,1219.384508
688.4,782,1228.63163
579.7,454,1234.205854
607.5,596,1241.062398
225.1,150,1242.758311
1134.9,792,1252.086649
611.0,306,1255.905388
599.6,310,1259.502568
231.0,146,1261.233443
205.8,188,1263.391987
583.2,394,1268.171876
1013.9,582,1274.733412
994.4,967,1286.135981
597.1,420,1290.915196
936.0,1256,1305.712686
1290.8,698,1313.747985
1624.0,1086,1326.198741
2822.2,1529,1343.809704
602.7,644,1351.243622
738.3,638,1358.293845
964.5,1171,1371.842422
223.3,168,1373.757608
982.5,936,1384.732909
214.3,188,1387.159175
239.6,130,1388.661427
219.6,150,1390.418399
692.4,1112,1403.459174
1287.0,876,1413.807806
239.2,124,1415.198369
580.5,446,1420.321319
972.5,1071,1432.797331
231.6,150,1434.786999
964.4,1062,1447.119936
1295.4,647,1454.501826
1001.3,798,1463.831424
217.5,196,1466.0495
1229.0,1466,1483.163204
1279.0,1001,1494.802744
231.8,148,1496.493134
942.6,1505,1513.714048
2130.7,2839,1545.908186
573.9,472,1551.17515
2818.8,1658,1570.575617
978.3,913,1581.687481
1260.3,1173,1596.883663
226.1,170,1598.836722
779.8,638,1606.431047
207.0,186,1608.534022
1021.2,739,1616.98236
598.6,330,1620.69011
222.4,152,1622.385229
741.7,634,1629.671248
828.8,2538,1658.634567
625.1,420,1663.631836
566.9,652,1670.806179
606.3,358,1675.059046
1268.0,911,1685.327164
695.1,1040,1697.022804
1321.5,1416,1713.410435
600.5,666,1721.407766
241.4,122,1722.825959
591.2,324,1726.59739
782.7,594,1733.799119
1355.7,984,1745.393244
242.8,128,1746.839602
732.2,614,1753.877245
595.4,412,1758.830426
1267.4,832,1768.662649
579.3,388,1773.120327
998.1,725,1781.8053
605.9,372,1786.140913
738.1,690,1794.470712
560.7,414,1799.239226
596.3,508,1805.349822
590.5,346,1809.351614
709.0,796,1818.745586
216.9,182,1820.846629
598.0,396,1825.369658
226.7,144,1827.277022
576.9,442,1832.319686
1109.5,686,1840.399455
586.6,420,1845.228494
587.5,346,1849.260591
583.0,406,1854.279791
210.0,166,1856.207153
1004.8,758,1865.286872
227.0,146,1867.0021
1096.8,768,1877.574191
242.4,142,1879.192195
590.7,344,1883.297261
1272.2,884,1893.658214
999.4,697,1901.847611
225.6,160,1903.639264
239.2,124,1904.994915
984.3,888,1915.011801
1001.0,721,1922.98055
1299.0,766,1931.739349
1022.4,487,1937.458572
683.7,734,1945.714924
610.2,324,1949.678871
242.1,130,1951.162366
235.1,130,1952.674398
614.7,384,1956.968586
628.5,386,1961.522418
966.1,1120,1974.482265
1573.0,1566,1992.571663
607.1,380,1997.192208
591.7,384,2001.543239
990.8,833,2011.606823
1349.6,1160,2025.236399
1764.2,1254,2039.767946
227.2,164,2041.640943
227.3,148,2043.611392
985.9,842,2053.243253
1297.0,731,2061.852736
1456.4,1462,2079.00979
1340.5,1116,2092.020193
232.7,154,2093.798173
718.6,780,2104.906602
226.3,158,2106.740913
592.5,386,2111.17144
187.6,210,2113.58344
605.6,400,2118.441671
742.7,1004,2130.397191
1286.8,913,2141.302961
232.9,142,2142.962298
241.8,128,2144.449371
971.2,989,2156.13664
605.1,340,2160.035225
213.7,164,2161.910949
748.1,950,2173.158711
1349.7,1164,2186.88567
734.9,732,2195.566401
699.4,672,2203.464509
655.9,1242,2217.455206
592.5,446,2222.405699
1259.5,1181,2235.916332
220.8,158,2237.662919
1252.6,1075,2250.093301
578.3,478,2255.570448
598.9,462,2261.202645
598.7,314,2264.765366
237.2,124,2266.19746
226.0,156,2267.950473
1010.3,618,2275.385816
590.1,390,2279.871451
578.9,442,2285.230764
234.2,154,2287.02839
630.7,364,2291.211169
1353.3,1008,2303.01283
228.1,140,2304.615475
245.8,118,2305.987662
236.2,134,2307.784271
242.7,124,2309.239515
607.5,596,2316.033359
1766.6,1350,2332.052472
997.8,673,2339.788789
596.7,394,2344.568784
235.7,144,2346.240286
1292.2,854,2358.314873
1277.3,798,2367.575212
210.4,182,2369.938033
566.2,394,2374.440684
1628.2,1104,2387.372411
1299.0,761,2396.403123
219.8,168,2398.352503
235.9,122,2399.742014
240.7,114,2401.061252
1005.4,652,2408.695532
606.8,368,2412.719164
783.3,598,2419.578221
590.1,450,2424.50996
603.9,342,2428.579931
234.8,128,2429.984724
706.3,518,2435.655174
241.5,116,2436.950606
593.2,264,2440.118923
968.9,992,2451.132145
575.7,374,2455.534142
